study_hours,attendance_percent,assignment_score,previous_gpa,internet_access,tutoring,passed
2.6,92.8,52.8,3.88,Yes,Yes,1
4.4,82.6,59.1,1.76,Yes,No,1
0.6,80.3,100.0,2.52,Yes,Yes,0
6.5,88.6,51.7,,No,Yes,1
5.1,89.3,57.8,2.16,Yes,Yes,1
3.5,73.7,91.5,2.42,Yes,No,1
3.4,74.9,61.0,2.5,No,No,1
4.5,89.8,79.8,2.75,No,No,1
3.5,87.8,36.9,2.58,Yes,No,0
3.6,79.7,56.4,3.36,Yes,No,1
5.3,95.2,78.7,4.0,Yes,Yes,1
4.9,80.9,45.5,3.16,Yes,No,1
3.9,60.8,73.7,2.92,Yes,No,1
3.8,73.2,71.5,1.95,Yes,No,1
4.3,65.8,62.5,2.26,Yes,No,1
2.9,94.6,66.9,1.46,Yes,Yes,1
3.3,87.6,81.5,2.98,Yes,No,1
5.0,83.3,70.2,1.61,Yes,No,0
3.8,56.5,85.7,3.12,Yes,Yes,0
1.5,65.8,82.6,2.12,,Yes,1
3.1,80.3,94.0,2.9,Yes,No,1
5.2,62.4,64.6,3.01,Yes,No,1
3.6,92.4,73.5,1.33,No,Yes,1
3.7,80.9,55.1,2.09,Yes,No,0
5.2,80.4,80.2,2.9,Yes,No,1
7.3,81.3,60.3,2.98,Yes,No,1
2.7,71.5,80.2,3.21,No,Yes,1
6.4,70.5,66.8,2.41,Yes,Yes,1
1.8,61.1,68.4,2.59,No,No,1
4.3,82.3,74.4,3.9,Yes,Yes,1
1.9,86.5,59.8,2.79,Yes,No,1
6.4,79.4,60.9,3.23,Yes,Yes,1
5.5,78.9,61.6,2.47,Yes,Yes,1
6.0,71.7,62.8,1.6,Yes,Yes,1
2.4,84.8,80.2,2.98,Yes,Yes,1
5.2,55.0,65.1,3.03,Yes,No,1
3.1,69.9,62.3,3.31,Yes,No,1
3.2,,83.1,2.02,Yes,Yes,0
4.9,76.4,81.2,2.16,Yes,Yes,1
5.6,84.4,,1.14,Yes,No,1
4.4,79.9,100.0,3.04,Yes,No,1
,83.7,55.1,3.22,Yes,Yes,1
2.5,95.7,94.9,2.18,Yes,No,1
6.6,97.1,74.7,2.34,Yes,No,1
5.1,89.1,85.8,2.5,Yes,Yes,1
5.3,95.7,66.3,3.76,Yes,Yes,1
7.9,100.0,88.3,3.28,Yes,No,1
2.5,86.1,56.0,3.45,Yes,No,0
8.6,66.6,82.7,2.55,Yes,No,1
9.7,93.1,,2.34,Yes,No,1
6.9,71.1,84.3,3.42,Yes,No,1
5.5,100.0,63.5,1.49,Yes,Yes,1
2.8,100.0,77.1,3.01,Yes,No,1
5.8,76.3,59.0,1.74,,Yes,0
3.2,69.9,65.4,3.2,Yes,Yes,1
4.0,74.4,67.1,3.01,Yes,Yes,0
3.5,81.3,61.7,2.03,Yes,No,1
4.5,96.1,63.4,2.8,Yes,Yes,1
6.3,68.4,52.5,1.86,No,No,1
3.0,91.7,68.9,1.92,Yes,No,0
2.2,59.2,92.5,2.37,,No,1
2.2,95.4,100.0,2.12,Yes,No,1
2.3,81.3,58.3,3.34,Yes,Yes,0
1.4,84.2,59.4,4.0,Yes,No,0
2.4,,75.8,2.65,,Yes,1
6.3,92.3,,2.64,Yes,Yes,1
2.9,86.1,,,No,No,0
4.5,100.0,36.3,2.42,Yes,No,1
1.8,62.5,74.7,2.96,,No,0
4.3,72.0,90.8,1.33,Yes,No,0
0.9,67.2,92.1,2.16,Yes,No,0
2.7,89.9,70.7,1.56,Yes,No,0
8.1,63.4,91.7,1.3,Yes,No,1
3.0,100.0,68.3,3.31,No,No,1
6.0,83.0,49.9,2.43,Yes,No,1
4.8,95.4,68.9,3.74,Yes,No,1
3.7,71.4,86.4,3.69,Yes,No,0
2.8,,72.8,2.6,No,No,1
6.3,88.9,62.4,2.35,No,No,1
3.7,74.2,71.7,2.11,Yes,No,1
6.7,79.5,75.9,0.93,Yes,No,1
2.7,99.1,72.9,2.27,Yes,Yes,1
4.1,95.9,75.4,2.45,Yes,No,1
4.8,88.4,76.5,2.17,Yes,No,1
,,86.9,1.96,No,Yes,1
1.8,60.6,72.9,2.58,Yes,Yes,0
2.8,85.2,68.6,2.38,Yes,Yes,1
3.6,77.8,76.3,2.73,Yes,Yes,1
2.5,97.7,79.8,1.95,Yes,Yes,1
5.2,94.2,44.8,3.95,Yes,Yes,1
5.1,94.9,88.1,3.02,Yes,Yes,1
0.5,75.4,96.3,2.52,Yes,No,0
0.8,88.2,71.3,2.09,Yes,Yes,0
1.7,93.9,80.1,1.96,Yes,No,1
4.2,96.3,59.8,3.19,Yes,No,1
7.7,71.8,81.0,2.35,No,Yes,1
3.3,74.5,58.2,2.67,No,Yes,1
4.5,84.7,73.6,2.92,Yes,No,1
2.1,97.3,79.5,2.26,Yes,Yes,1
2.1,88.8,59.1,2.81,Yes,No,0
0.5,97.1,54.3,1.33,Yes,No,0
3.9,60.5,65.7,1.96,Yes,Yes,1
5.7,79.0,62.5,1.28,Yes,No,1
3.4,87.5,,2.35,Yes,No,0
6.5,85.0,54.4,2.34,Yes,No,0
4.4,61.2,87.2,3.86,Yes,No,1
3.9,94.1,66.9,2.08,No,Yes,1
4.9,85.8,77.5,2.73,No,No,1
4.9,76.9,46.5,2.92,Yes,No,1
6.1,95.2,62.1,3.6,Yes,Yes,1
2.6,63.0,94.8,,Yes,No,1
0.0,76.4,57.8,3.15,Yes,No,0
4.2,91.7,75.2,3.88,Yes,Yes,1
2.9,86.1,100.0,1.46,Yes,No,1
4.0,79.5,,2.22,Yes,No,1
7.0,80.3,,2.36,Yes,No,1
2.0,79.4,57.5,2.58,Yes,No,1
5.4,91.5,63.7,,Yes,No,1
5.7,78.7,70.0,3.37,Yes,No,1
4.8,89.5,62.8,2.19,Yes,No,1
6.0,59.0,76.0,2.17,Yes,No,1
3.2,95.5,44.3,2.94,Yes,,1
